timestamp,probability_gt_threshold,confidence,betting_action,risk_level,target,bet_amount,status,result,actual,profit_loss,bankroll_before,bankroll_after,reason,model_type
2025-12-15T21:34:08.399533,0.5553,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,2.39,100.0,55400.0,55500.0,Moderate probability: 55.53% with confidence 54.68%,bayesian_sequence
2025-12-15T21:34:28.079394,0.5728,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,2.1,100.0,55500.0,55600.0,Moderate probability: 57.28% with confidence 54.68%,bayesian_sequence
2025-12-15T21:34:56.251410,0.6121,54.67999999999999,BET,LOW,2.0,100.0,completed,win,3.27,100.0,55600.0,55700.0,High probability: 61.21% with confidence 54.68%,bayesian_sequence
2025-12-15T21:35:32.541978,0.6268,54.67999999999999,BET,LOW,2.0,100.0,completed,win,5.41,100.0,55700.0,55800.0,High probability: 62.68% with confidence 54.68%,bayesian_sequence
2025-12-15T21:35:50.794038,0.5775,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,loss,1.24,-100.0,55800.0,55700.0,Moderate probability: 57.75% with confidence 54.68%,bayesian_sequence
2025-12-15T21:36:31.388122,0.5939,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,11.25,100.0,55700.0,55800.0,Moderate probability: 59.39% with confidence 54.68%,bayesian_sequence
2025-12-15T21:42:12.230058,0.5818,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,131.17,100.0,55800.0,55900.0,Moderate probability: 58.18% with confidence 54.68%,bayesian_sequence
2025-12-15T22:25:02.258273,0.5898,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,5.11,100.0,55900.0,56000.0,Moderate probability: 58.98% with confidence 54.68%,bayesian_sequence
2025-12-15T22:26:25.087478,0.5605,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,3.7,100.0,56000.0,56100.0,Moderate probability: 56.05% with confidence 54.68%,bayesian_sequence
2025-12-15T22:26:30.826275,0.6004,54.67999999999999,BET,LOW,2.0,100.0,completed,win,2.11,100.0,56100.0,56200.0,High probability: 60.04% with confidence 54.68%,bayesian_sequence
2025-12-15T22:27:11.277225,0.6157,54.67999999999999,BET,LOW,2.0,100.0,completed,win,40.31,100.0,56200.0,56300.0,High probability: 61.57% with confidence 54.68%,bayesian_sequence
2025-12-15T22:28:06.759635,0.6301,54.67999999999999,BET,LOW,2.0,100.0,completed,win,38.46,100.0,56300.0,56400.0,High probability: 63.01% with confidence 54.68%,bayesian_sequence
2025-12-15T22:28:46.145999,0.6665,54.67999999999999,BET,LOW,2.0,100.0,completed,win,8.93,100.0,56400.0,56500.0,High probability: 66.65% with confidence 54.68%,bayesian_sequence
2025-12-15T22:29:10.978333,0.7011,54.67999999999999,BET,LOW,2.0,100.0,completed,win,2.75,100.0,56500.0,56600.0,High probability: 70.11% with confidence 54.68%,bayesian_sequence
2025-12-15T22:29:31.727609,0.6482,54.67999999999999,BET,LOW,2.0,100.0,completed,loss,1.69,-100.0,56600.0,56500.0,High probability: 64.82% with confidence 54.68%,bayesian_sequence
